name,type,start_time,duration,"error","data"
"ch1","data",2.4903695,0.000082,,0x6F
"ch1","data",2.490476,0.000082,,0x72
"ch1","data",2.4905695,0.000082,,0x8E
"ch1","data",2.4906765,0.000082,"framing",0x93
"ch1","data",2.4908095,0.000082,,0x92
"ch1","data",2.490903,0.000082,"framing",0x6E
"ch1","data",2.4910635,0.000082,"framing",0x0C
"ch1","data",2.491197,0.000082,"framing",0x0C
"ch1","data",2.4913435,0.000082,"framing",0x72
"ch1","data",2.4914635,0.000082,"framing",0x0C
"ch1","data",2.491597,0.000082,,0x6C
"ch1","data",2.491704,0.000082,"framing",0x60
"ch1","data",2.4918105,0.000082,,0x02
"ch1","data",2.491904,0.000082,,0x70
"ch1","data",2.492011,0.000082,,0xF3
"ch1","data",2.4921045,0.000082,,0x6F
"ch1","data",2.4921975,0.000082,"framing",0xE0
"ch1","data",2.4923045,0.000082,,0x10
"ch1","data",2.4924115,0.000082,"framing",0x03
"ch1","data",2.4925315,0.000082,"framing",0x0C
"ch1","data",2.492665,0.000082,"framing",0x0C
"ch1","data",2.4928115,0.000082,"framing",0x72
"ch1","data",2.492932,0.000082,,0x8C
"ch1","data",2.493025,0.000082,"framing",0x9C
"ch1","data",2.4931585,0.000082,"framing",0x9C
"ch1","data",2.4932655,0.000082,"framing",0xE2
"ch1","data",2.493372,0.000082,,0xE0
"ch1","data",2.4934655,0.000082,"framing",0x0C
"ch1","data",2.493599,0.000082,"framing",0x0C
"ch1","data",2.4937325,0.000082,"framing",0x0C
"ch1","data",2.493866,0.000082,,0x0C
"ch1","data",2.493973,0.000082,"framing",0x63
"ch1","data",2.494133,0.000082,,0x0C
"ch1","data",2.4942395,0.000082,,0x6E
"ch1","data",2.494333,0.000082,"framing",0xE2
"ch1","data",2.49444,0.000082,,0x7C
"ch1","data",2.4945465,0.000082,"framing",0x02
"ch1","data",2.494667,0.000082,,0x8C
"ch1","data",2.49476,0.000082,"framing",0x8E
"ch1","data",2.4948805,0.000082,,0x1C
"ch1","data",2.4949735,0.000082,,0x8C
"ch1","data",2.495067,0.000082,,0x0C
"ch1","data",2.495174,0.000082,"framing",0x62
"ch1","data",2.495334,0.000082,"framing",0x8C
"ch1","data",2.495481,0.000082,,0xF3
"ch1","data",2.4955745,0.000082,,0x6F
"ch1","data",2.495708,0.000082,,0x6F
"ch1","data",2.495801,0.000082,"framing",0xEE
"ch1","data",2.495908,0.000082,,0x00
"ch1","data",2.4960015,0.000082,"framing",0x0C
"ch1","data",2.496135,0.000082,"framing",0x0C
"ch1","data",2.4962685,0.000082,,0x6C
"ch1","data",2.496375,0.000082,"framing",0x60
"ch1","data",2.496482,0.000082,,0x03
"ch1","data",2.4969285,0.000082,,0x90
"ch1","data",2.497035,0.000082,"framing",0x12
"ch1","data",2.4971685,0.000082,,0x12
"ch1","data",2.497262,0.000082,"framing",0x6E
"ch1","data",2.4973955,0.000082,"framing",0x6E
"ch1","data",2.4975555,0.000082,"framing",0x0C
"ch1","data",2.497689,0.000082,,0x6C
"ch1","data",2.497796,0.000082,"framing",0x60
